"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_BRANCOS";"QT_VOTOS_NULOS";"QT_VOTOS_LEGENDA";"QT_VOTOS_PENDENTES";"QT_VOTOS_ANULADOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADO_SUB_JUDICE";"QT_VOTOS_SEM_CAND_P_VOTAR";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"67695";"NOVA ODESSA";"67695";"NOVA ODESSA";"292";"11";"Prefeito";"46731";"121";"1";"46731";"121";"35136";"11595";"N";"29616";"1763";"2510";"0";"0";"0";"444";"803";"0";"00:20:50";"16/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"65854";"JABORANDI";"65854";"JABORANDI";"178";"11";"Prefeito";"5135";"13";"0";"5135";"13";"4416";"719";"N";"4262";"30";"124";"0";"0";"0";"0";"0";"0";"22:50:51";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"61620";"TUIUTI";"61620";"TUIUTI";"298";"11";"Prefeito";"5450";"14";"0";"5450";"14";"4274";"1176";"N";"2655";"119";"180";"0";"0";"1320";"0";"0";"0";"15:25:01";"06/05/2021"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"67199";"MOMBUCA";"67199";"MOMBUCA";"38";"13";"Vereador";"3240";"8";"0";"3240";"8";"2741";"499";"N";"2453";"47";"93";"148";"0";"0";"0";"0";"0";"22:20:53";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"71919";"TIETÊ";"71919";"TIETÊ";"142";"13";"Vereador";"30332";"86";"0";"30332";"86";"21525";"8807";"N";"17588";"1280";"1473";"1120";"0";"0";"0";"64";"0";"23:30:39";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"72176";"URÂNIA";"72176";"URÂNIA";"427";"11";"Prefeito";"6840";"22";"3";"6840";"22";"5504";"1336";"N";"5201";"95";"208";"0";"0";"0";"0";"0";"0";"22:23:33";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"70297";"SANTA CRUZ DO RIO PARDO";"70297";"SANTA CRUZ DO RIO PARDO";"114";"13";"Vereador";"35412";"95";"0";"35412";"95";"25191";"10221";"N";"21010";"1473";"1111";"1225";"0";"0";"0";"372";"0";"23:32:26";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"68195";"PARANAPUÃ";"68195";"PARANAPUÃ";"427";"11";"Prefeito";"3371";"10";"0";"3371";"10";"2979";"392";"N";"2914";"15";"50";"0";"0";"0";"0";"0";"0";"22:40:42";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"64530";"GUAPIARA";"64530";"GUAPIARA";"37";"13";"Vereador";"15004";"43";"1";"15004";"43";"11472";"3532";"N";"9967";"345";"366";"794";"0";"0";"0";"0";"0";"23:30:34";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"71358";"SERTÃOZINHO";"71358";"SERTÃOZINHO";"135";"11";"Prefeito";"95006";"242";"1";"95006";"242";"68823";"26183";"N";"60516";"3316";"4991";"0";"0";"0";"0";"0";"0";"23:30:15";"15/11/2020"
